epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,88.9367,1.93449,3.36199,1.50037,0.01192,0.4604,0.02425,0.01198,1.54346,3.35668,1.38835,0.0946,0.0006,0.0006
2,180.024,1.71376,3.14396,1.34077,0.01423,0.5495,0.03883,0.01939,1.44827,3.31133,1.29892,0.0882871,0.00128713,0.00128713
3,274.695,1.53356,2.72788,1.29655,0.01526,0.58911,0.05059,0.02562,1.48845,3.23523,1.31795,0.0819604,0.0019604,0.0019604
4,366.608,1.58403,2.43037,1.3995,0.01679,0.64851,0.06634,0.03568,1.47031,3.07587,1.28837,0.0756198,0.00261981,0.00261981
1,89.1701,1.93449,3.36199,1.50037,0.01192,0.4604,0.02425,0.01198,1.54346,3.35668,1.38835,0.0946,0.0006,0.0006
2,185.638,1.71376,3.14396,1.34077,0.01423,0.5495,0.03883,0.01939,1.44827,3.31133,1.29892,0.0882871,0.00128713,0.00128713
3,282.867,1.53356,2.72788,1.29655,0.01526,0.58911,0.05059,0.02562,1.48845,3.23523,1.31795,0.0819604,0.0019604,0.0019604
4,390.146,1.58403,2.43037,1.3995,0.01679,0.64851,0.06634,0.03568,1.47031,3.07587,1.28837,0.0756198,0.00261981,0.00261981
5,488.841,1.56877,1.85088,1.31929,0.01949,0.75248,0.22535,0.14157,1.4732,2.98886,1.23959,0.0692654,0.00326536,0.00326536
6,581.678,1.55924,1.77957,1.24137,0.02154,0.83168,0.32083,0.19412,1.41779,2.8643,1.17565,0.062897,0.00389705,0.00389705
7,682.193,1.57745,1.88734,1.20671,0.02269,0.87624,0.31725,0.18726,1.36632,2.72929,1.16483,0.0565149,0.00451488,0.00451488
8,787.091,1.45107,1.66115,1.24267,1,0.03873,0.25896,0.14722,1.47413,2.76582,1.25165,0.0501188,0.00511885,0.00511885
9,878.386,1.51169,1.55622,1.23689,0.75797,0.10854,0.46274,0.27704,1.40955,2.49488,1.20083,0.043709,0.00570896,0.00570896
10,980.308,1.54833,1.80847,1.38451,0.84954,0.13979,0.49008,0.28333,1.45049,2.44704,1.20508,0.0372852,0.00628521,0.00628521
11,1075.92,1.52536,1.80162,1.2788,0.71381,0.22226,0.4256,0.22343,1.45874,2.43899,1.24152,0.0308476,0.0068476,0.0068476
12,1169.39,1.47872,1.5115,1.2079,0.61723,0.38319,0.42918,0.22442,1.5765,2.24441,1.31226,0.0243961,0.00739613,0.00739613
13,1264.98,1.46268,1.46009,1.1906,0.72217,0.29703,0.45637,0.21585,1.66539,2.33838,1.28552,0.0179308,0.0079308,0.0079308
14,1363.08,1.41897,1.47454,1.19794,0.69908,0.32673,0.48351,0.23182,1.63318,2.25563,1.26202,0.0114516,0.00845161,0.00845161
15,1463.11,1.40298,1.60823,1.21645,0.66483,0.47525,0.50767,0.24982,1.59545,2.01364,1.32527,0.008614,0.008614,0.008614
16,1553.71,1.45363,1.56242,1.24232,0.66395,0.39124,0.52413,0.22178,1.79901,2.15239,1.29752,0.008515,0.008515,0.008515
17,1644.26,1.52128,1.56131,1.21428,0.71424,0.44545,0.60764,0.33105,1.54711,1.97982,1.22976,0.008416,0.008416,0.008416
18,1734.7,1.38535,1.30135,1.13455,0.67101,0.51485,0.58571,0.32687,1.51589,1.74661,1.25479,0.008317,0.008317,0.008317
19,1825.81,1.40099,1.58955,1.20216,0.60006,0.5,0.56014,0.31749,1.47417,1.70004,1.27229,0.008218,0.008218,0.008218
20,1937.9,1.4365,1.32257,1.18286,0.63821,0.5396,0.60769,0.32373,1.55215,1.53421,1.25008,0.008119,0.008119,0.008119
21,2034.45,1.46752,1.5139,1.28184,0.63551,0.47473,0.54078,0.29498,1.64177,1.87304,1.31118,0.00802,0.00802,0.00802
22,2127.78,1.34662,1.39331,1.14974,0.65337,0.5297,0.57449,0.3157,1.56263,1.54045,1.25449,0.007921,0.007921,0.007921
23,2238.5,1.36776,1.33342,1.19138,0.64431,0.58416,0.58774,0.31233,1.612,1.52194,1.27696,0.007822,0.007822,0.007822
24,2357.92,1.42803,1.30864,1.17905,0.52072,0.48515,0.46527,0.22108,1.67488,1.90231,1.37323,0.007723,0.007723,0.007723
25,2450.65,1.53779,1.39412,1.37811,0.57887,0.45593,0.48918,0.25703,1.6645,1.91235,1.42018,0.007624,0.007624,0.007624
26,2555.25,1.41563,1.31885,1.14818,0.62646,0.59901,0.59663,0.29621,1.62636,1.57349,1.28895,0.007525,0.007525,0.007525
